n_clusters,init,embedding_size,pretrain_epochs,clustering_epochs,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
3,acedec,10,200,200,0.37467675230742736,0.3422852782350498,0.6966292134831461,0.09699893130881976,20.73541084415843,3.0039912503486756,0.24975079551258206
3,acedec,20,200,200,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
3,acedec,30,200,200,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
3,acedec,40,200,200,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
3,subkmeans,10,200,200,0.5823712688114162,0.5582170169903964,0.7752808988764045,0.11140098893386233,23.168630274690646,2.6053440919492172,0.2773660362219001
3,subkmeans,20,200,200,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
3,subkmeans,30,200,200,0.27359025310070895,0.29600398222742663,0.6629213483146067,0.0897480106760239,21.58147318203481,2.1749937180790884,0.3149612530902936
3,subkmeans,40,200,200,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
3,random,10,200,200,0.3908977475052671,0.38928280053261266,0.6853932584269663,0.1402468704639073,30.277470833229035,2.7426374960107816,0.2671912524431993
3,random,20,200,200,0.18069597197872947,0.2090678929403183,0.5561797752808989,0.031938937925679145,13.042746918650675,2.8543475430221883,0.2594472835773137
3,random,30,200,200,0.26862191619884185,0.270087135755909,0.6292134831460674,0.1297099544288972,29.23884222697502,2.869755121662385,0.25841428425331886
3,random,40,200,200,0.5452818753759994,0.4811549819725574,0.8146067415730337,0.19646987895339735,44.53542824475577,1.650323338564882,0.3773124529558299
3,sgd,10,200,200,0.6702569074138528,0.6475780660729891,0.8820224719101124,0.24886809517764008,65.77873921351748,1.501157498126088,0.39981488600746573
3,sgd,20,200,200,0.54824940794719,0.5257603941541757,0.7191011235955056,0.08230751338493798,17.335754286022915,4.210666847287928,0.19191401586545198
3,sgd,30,200,200,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
3,sgd,40,200,200,0.08475550524053722,0.08534160889146303,0.5112359550561798,0.024058897001491147,8.914216784374092,5.604787227115114,0.15140533155930097
