n_clusters,linkage,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
2,ward,0.5344167388994732,0.6758975673333283,0.657,0.6381723653307507,1.0,0.4650891850495765
2,complete,0.3206993923289915,0.3446355400757939,0.592,0.48450360276921284,0.935896187749892,0.19968200985886686
2,average,0.5344167388994732,0.6758975673333283,0.657,0.6381723653307507,1.0,0.4650891850495765
3,ward,0.5406959949638579,0.611347819511716,0.77,0.4842511867085127,0.9836132016446363,0.24296670019110111
3,complete,0.4501045772633434,0.5137385449480417,0.664,0.4393566820543606,0.974172249379594,0.02973148718671037
3,average,0.5333258477739053,0.6681986158079279,0.658,0.500133206126575,0.9154098383514628,0.43263676542511087
4,ward,0.5235799275462556,0.605819803332276,0.791,0.4422304838495729,0.9749775643453023,0.15577820281152654
4,complete,0.43216424547054444,0.4890866007580515,0.702,0.38518635903295945,0.9589126737739717,0.0
4,average,0.5125797971898861,0.564275231981804,0.754,0.4592505705373128,0.9451645514016672,0.20336042301350843
5,ward,0.37942533378613125,0.5541660253601226,0.791,0.4002303546120911,0.9817363846346742,0.13552611163125783
5,complete,0.32480285434837813,0.4533545394107368,0.702,0.3313396608927148,0.9496175731073415,0.04743965418101925
5,average,0.4967428205616406,0.5513475245141091,0.754,0.37301499265540783,0.9247928313454657,0.21631071430046322
