min_cluster_size,metric,leaf_size,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
5,euclidean,25,0.9350405598275233,0.9143974384751636,0.9935897435897436,-0.0672272920602667,0.8377296567178649,0.4143219842447401
5,euclidean,40,0.9350405598275233,0.9143974384751636,0.9935897435897436,-0.0672272920602667,0.8377296567178649,0.4143219842447401
5,euclidean,70,0.9350405598275233,0.9143974384751636,0.9935897435897436,-0.0672272920602667,0.8377296567178649,0.4143219842447401
5,euclidean,100,0.9350405598275233,0.9143974384751636,0.9935897435897436,-0.0672272920602667,0.8377296567178649,0.4143219842447401
5,manhattan,25,0.4724474076970017,0.582193268498316,0.8814102564102564,-0.12606916172755397,1.0,0.6018116500868924
5,manhattan,40,0.4724474076970017,0.582193268498316,0.8814102564102564,-0.12606916172755397,1.0,0.6018116500868924
5,manhattan,70,0.4724474076970017,0.582193268498316,0.8814102564102564,-0.12606916172755397,1.0,0.6018116500868924
5,manhattan,100,0.4724474076970017,0.582193268498316,0.8814102564102564,-0.12606916172755397,1.0,0.6018116500868924
10,euclidean,25,0.5536816785076192,0.637634083342804,0.8301282051282052,-0.056900791842127416,0.7859576685852706,0.0
10,euclidean,40,0.5536816785076192,0.637634083342804,0.8301282051282052,-0.056900791842127416,0.7859576685852706,0.0
10,euclidean,70,0.5536816785076192,0.637634083342804,0.8301282051282052,-0.056900791842127416,0.7859576685852706,0.0
10,euclidean,100,0.5536816785076192,0.637634083342804,0.8301282051282052,-0.056900791842127416,0.7859576685852706,0.0
10,manhattan,25,0.21941967280754127,0.44906440098559486,0.7083333333333334,-0.14603129916572086,0.9157915653634818,0.651215285798642
10,manhattan,40,0.21941967280754127,0.44906440098559486,0.7083333333333334,-0.14603129916572086,0.9157915653634818,0.651215285798642
10,manhattan,70,0.21941967280754127,0.44906440098559486,0.7083333333333334,-0.14603129916572086,0.9157915653634818,0.651215285798642
10,manhattan,100,0.21941967280754127,0.44906440098559486,0.7083333333333334,-0.14603129916572086,0.9157915653634818,0.651215285798642
15,euclidean,25,0.14446887619190002,0.3903087735523609,0.6057692307692307,-0.10741951632538434,0.7967142574139627,0.5773549857408373
15,euclidean,40,0.14446887619190002,0.3903087735523609,0.6057692307692307,-0.10741951632538434,0.7967142574139627,0.5773549857408373
15,euclidean,70,0.14446887619190002,0.3903087735523609,0.6057692307692307,-0.10741951632538434,0.7967142574139627,0.5773549857408373
15,euclidean,100,0.14446887619190002,0.3903087735523609,0.6057692307692307,-0.10741951632538434,0.7967142574139627,0.5773549857408373
15,manhattan,25,0.08475381293076509,0.29527336001565174,0.5480769230769231,-0.125677809517678,0.7493037661081419,0.6088307452805664
15,manhattan,40,0.08475381293076509,0.29527336001565174,0.5480769230769231,-0.125677809517678,0.7493037661081419,0.6088307452805664
15,manhattan,70,0.08475381293076509,0.29527336001565174,0.5480769230769231,-0.125677809517678,0.7493037661081419,0.6088307452805664
15,manhattan,100,0.08475381293076509,0.29527336001565174,0.5480769230769231,-0.125677809517678,0.7493037661081419,0.6088307452805664
