significance,pval_strategy,n_split_trials,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
0.0005,table,5,0.957723622271345,0.9637243014176684,0.9798,0.6263045015327983,13481.7992842611,0.4653771245215649,0.6824181865992298
0.0005,table,10,0.957723622271345,0.9637243014176684,0.9798,0.6263045015327983,13481.799284261102,0.4653771245215649,0.6824181865992298
0.0005,table,12,0.957723622271345,0.9637243014176684,0.9798,0.6263045015327983,13481.799284261098,0.4653771245215649,0.6824181865992298
0.0005,table,15,0.957723622271345,0.9637243014176684,0.9798,0.6263045015327983,13481.7992842611,0.46537712452156477,0.6824181865992298
0.0005,table,18,0.957723622271345,0.9637243014176684,0.9798,0.6263045015327983,13481.799284261102,0.4653771245215649,0.6824181865992298
0.0005,table,20,0.957723622271345,0.9637243014176683,0.9798,0.6263045015327983,13481.799284261098,0.4653771245215649,0.6824181865992298
0.0005,table,25,0.957723622271345,0.9637243014176683,0.9798,0.6263045015327983,13481.799284261098,0.4653771245215648,0.6824181865992298
0.0005,bootstrap,5,0.957723622271345,0.9637243014176684,0.9798,0.6263045015327983,13481.7992842611,0.4653771245215649,0.6824181865992298
0.0005,bootstrap,10,0.957723622271345,0.9637243014176684,0.9798,0.6263045015327983,13481.799284261098,0.4653771245215648,0.6824181865992298
0.0005,bootstrap,12,0.957723622271345,0.9637243014176684,0.9798,0.6263045015327983,13481.799284261097,0.4653771245215649,0.6824181865992298
0.0005,bootstrap,15,0.957723622271345,0.9637243014176683,0.9798,0.6263045015327983,13481.799284261098,0.4653771245215649,0.6824181865992298
0.0005,bootstrap,18,0.957723622271345,0.9637243014176684,0.9798,0.6263045015327983,13481.799284261098,0.4653771245215648,0.6824181865992298
0.0005,bootstrap,20,0.957723622271345,0.9637243014176684,0.9798,0.6263045015327983,13481.799284261098,0.46537712452156477,0.6824181865992298
0.0005,bootstrap,25,0.957723622271345,0.9637243014176684,0.9798,0.6263045015327983,13481.799284261097,0.4653771245215649,0.6824181865992298
0.0005,function,5,0.957723622271345,0.9637243014176684,0.9798,0.6263045015327983,13481.7992842611,0.4653771245215648,0.6824181865992298
0.0005,function,10,0.957723622271345,0.9637243014176684,0.9798,0.6263045015327983,13481.7992842611,0.4653771245215648,0.6824181865992298
0.0005,function,12,0.957723622271345,0.9637243014176684,0.9798,0.6263045015327983,13481.7992842611,0.4653771245215648,0.6824181865992298
0.0005,function,15,0.957723622271345,0.9637243014176684,0.9798,0.6263045015327983,13481.7992842611,0.4653771245215648,0.6824181865992298
0.0005,function,18,0.957723622271345,0.9637243014176684,0.9798,0.6263045015327983,13481.799284261097,0.4653771245215649,0.6824181865992298
0.0005,function,20,0.957723622271345,0.9637243014176684,0.9798,0.6263045015327983,13481.7992842611,0.4653771245215648,0.6824181865992298
0.0005,function,25,0.957723622271345,0.9637243014176684,0.9798,0.6263045015327983,13481.799284261097,0.46537712452156477,0.6824181865992298
0.001,table,5,0.957723622271345,0.9637243014176683,0.9798,0.6263045015327983,13481.799284261098,0.4653771245215649,0.6824181865992298
0.001,table,10,0.957723622271345,0.9637243014176684,0.9798,0.6263045015327983,13481.799284261098,0.4653771245215648,0.6824181865992298
0.001,table,12,0.957723622271345,0.9637243014176684,0.9798,0.6263045015327983,13481.7992842611,0.4653771245215649,0.6824181865992298
0.001,table,15,0.957723622271345,0.9637243014176684,0.9798,0.6263045015327983,13481.799284261097,0.4653771245215648,0.6824181865992298
0.001,table,18,0.957723622271345,0.9637243014176684,0.9798,0.6263045015327983,13481.7992842611,0.4653771245215649,0.6824181865992298
0.001,table,20,0.957723622271345,0.9637243014176684,0.9798,0.6263045015327983,13481.799284261097,0.4653771245215648,0.6824181865992298
0.001,table,25,0.957723622271345,0.9637243014176684,0.9798,0.6263045015327983,13481.799284261098,0.4653771245215649,0.6824181865992298
0.001,bootstrap,5,0.957723622271345,0.9637243014176684,0.9798,0.6263045015327983,13481.7992842611,0.4653771245215648,0.6824181865992298
0.001,bootstrap,10,0.957723622271345,0.9637243014176684,0.9798,0.6263045015327983,13481.7992842611,0.4653771245215649,0.6824181865992298
