n_clusters,init,max_iter,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
2,k-means++,300,0.24745674704464635,0.18673536255695625,0.7491000000000001,0.49163793061159067,0.986281653163704,0.11833777943842783
2,k-means++,500,0.24826073976661242,0.18736803434601718,0.7495,0.49167955126459895,0.986283537268179,0.11836474199680203
2,random,300,0.24585751198034228,0.18545464191615552,0.7483000000000001,0.49157351995859255,0.9862946551074745,0.1182339819408531
2,random,500,0.24685250343082638,0.18624012539267565,0.7487999999999999,0.49162703698126436,0.9862956415261375,0.11828621729634103
3,k-means++,300,0.27831589756851327,0.3326974067246797,0.7786000000000001,0.42438845078980936,0.9703347395572208,0.0008636888400680443
3,k-means++,500,0.2815591806022949,0.347090420439211,0.775,0.42581948394217467,0.9725862294267489,0.0
3,random,300,0.28111277344842084,0.3504504076771561,0.7753000000000001,0.4272692905711808,0.973259201639408,0.003112883509070463
3,random,500,0.281182160627338,0.34829566964436115,0.7748000000000002,0.4268934637605131,0.9732148396059498,0.0010501877718708252
4,k-means++,300,0.2616185196637666,0.35612537740987177,0.8574999999999999,0.4607695614077434,0.9934825845268462,0.10675288751359524
4,k-means++,500,0.26146414520817374,0.3559530742758818,0.8574999999999999,0.4608939850925129,0.9934928184800699,0.10751707868187321
4,random,300,0.2600559498454369,0.3546246235084509,0.8560000000000001,0.4609734343541437,0.9935575293798976,0.1059608734137415
4,random,500,0.2600559498454369,0.3546246235084509,0.8560000000000001,0.4609734343541437,0.9935575293798976,0.1059608734137415
5,k-means++,300,0.312620924035881,0.46640103791997145,0.929,0.48635055365952506,0.9994247276291585,0.19627595199639392
5,k-means++,500,0.3195793170503367,0.4757977341821478,0.9343,0.4883974104424217,0.9995847258204065,0.2015783783880033
5,random,300,0.3211666676063258,0.4805218182312537,0.9346,0.4897078241437474,0.9999971446083787,0.20379858967796982
5,random,500,0.3210067708704154,0.4803770145358085,0.9343999999999999,0.4896745051559722,1.0,0.20324276160092236
