n_clusters,init,embedding_size,pretrain_epochs,clustering_epochs,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
2,acedec,2,100,100,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
2,acedec,2,100,200,0.04868012274604068,0.0346186378702854,0.6153846153846154,0.152719575140639,39.91058016122774,2.187731811227816,0.3137026761403842
2,acedec,2,200,100,0.010870794546426218,0.009281062687864638,0.5625,0.14325212385267364,32.0322438425353,2.450874612050352,0.2897816097136736
2,acedec,2,200,200,0.004553875749739786,3.392448745401127e-05,0.5480769230769231,0.2118066638584558,37.538147979901574,1.9100434045086983,0.34363748611125255
2,acedec,5,100,100,-0.004822878507100481,-0.003440519201053316,0.5336538461538461,0.15377067168388814,38.64699473088482,2.181920517865328,0.31427560631554535
2,acedec,5,100,200,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
2,acedec,5,200,100,0.0012748715478571556,-0.0031661497990100864,0.5384615384615384,0.23379790392451824,28.743002805555296,1.7463810980108514,0.36411552669230063
2,acedec,5,200,200,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
2,acedec,10,100,100,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
2,acedec,10,100,200,-0.003936258054814527,-0.0001988391818265732,0.5336538461538461,0.14449573051173167,25.214803745830093,2.5088538225854484,0.2849933484157412
2,acedec,10,200,100,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
2,acedec,10,200,200,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
