k,t,eps,min_samples,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
2,0.01,0.01,3,0.7112096142799732,0.8439722466057925,0.976928147659855,0.3954139294677846,3308.8381894458876,0.9541380198677283,0.5117345805838669
2,0.01,0.01,5,0.7472598579343231,0.8760927478002183,0.950560316413975,0.4471154464741558,3335.4032990099513,0.8267307241633085,0.54742605835243
2,0.01,0.01,10,0.5902220718644956,0.8077135204863953,0.6506262359920897,0.3772033348259763,1839.1190671696222,0.9289354162657373,0.5184206747242575
2,0.01,0.025,3,0.9748835018761492,0.9795014938351395,0.994726433750824,0.6320701708082549,5523.404893833327,0.5623419989768333,0.6400647237639985
2,0.01,0.025,5,0.968268254089481,0.9752100705142718,0.992748846407383,0.6322029772667754,5591.514929497672,0.562109149075023,0.6401601325951732
2,0.01,0.025,10,0.9567542644231426,0.9690236839765548,0.974950560316414,0.6376555376404447,5642.341312111331,0.5243073666828059,0.6560356669903117
2,0.01,0.05,3,0.5031363409022328,0.8463446139573259,0.6585365853658537,0.4449729923317905,1327.6226996977734,0.5666481375735966,0.6383054216301476
2,0.01,0.05,5,0.5612497977042887,0.8679933985810814,0.6901779828609097,0.4862441887650246,1724.1600247394526,0.5562373692650836,0.6425754963539008
2,0.01,0.05,10,0.5845811288599759,0.8821309185750272,0.7165458141067897,0.5118765249966948,1767.3521510489368,0.5609314825288035,0.64064311034328
2,0.01,0.1,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
2,0.01,0.1,5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
2,0.01,0.1,10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
2,0.025,0.01,3,0.7112096142799732,0.8439722466057925,0.976928147659855,0.3954139294677846,3308.8381894458876,0.9541380198677283,0.5117345805838669
2,0.025,0.01,5,0.7472598579343231,0.8760927478002183,0.950560316413975,0.4471154464741558,3335.4032990099513,0.8267307241633085,0.54742605835243
2,0.025,0.01,10,0.5902220718644956,0.8077135204863953,0.6506262359920897,0.3772033348259763,1839.1190671696222,0.9289354162657373,0.5184206747242575
2,0.025,0.025,3,0.9748835018761492,0.9795014938351395,0.994726433750824,0.6320701708082549,5523.404893833327,0.5623419989768333,0.6400647237639985
2,0.025,0.025,5,0.968268254089481,0.9752100705142718,0.992748846407383,0.6322029772667754,5591.514929497672,0.562109149075023,0.6401601325951732
2,0.025,0.025,10,0.9567542644231426,0.9690236839765548,0.974950560316414,0.6376555376404447,5642.341312111331,0.5243073666828059,0.6560356669903117
2,0.025,0.05,3,0.5031363409022328,0.8463446139573259,0.6585365853658537,0.4449729923317905,1327.6226996977734,0.5666481375735966,0.6383054216301476
2,0.025,0.05,5,0.5612497977042887,0.8679933985810814,0.6901779828609097,0.4862441887650246,1724.1600247394526,0.5562373692650836,0.6425754963539008
2,0.025,0.05,10,0.5845811288599759,0.8821309185750272,0.7165458141067897,0.5118765249966948,1767.3521510489368,0.5609314825288035,0.64064311034328
