n_clusters,threshold,branching_factor,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
2,0.01,30,-0.0006170046706867222,-0.0004847764763109102,0.509,0.32699835797871163,0.9837486636112792,0.45746978974004027
2,0.01,50,-9.224768026001726e-05,-6.760598088646484e-05,0.515,0.3443916033194105,1.0,0.45732222000866457
2,0.01,70,0.008223484864516909,0.0059423157286673965,0.548,0.3431284090964455,0.9948757231086405,0.45234669367950386
2,0.05,30,-0.00033760563160819743,-0.0002761672854573436,0.512,0.30852747474181536,0.9618488644688796,0.4481951218655716
2,0.05,50,0.0013079071057459112,0.0009481222288180229,0.524,0.34394454193643914,0.99165927563105,0.45148243835941076
2,0.05,70,0.0013079071057459112,0.0009481222288180229,0.524,0.34394454193643914,0.99165927563105,0.45148243835941076
2,0.1,30,0.007862895243066452,0.005839993258672731,0.547,0.33445207756258016,0.9861581166732005,0.4491449668956858
2,0.1,50,0.007862895243066452,0.005839993258672731,0.547,0.33445207756258016,0.9861581166732005,0.4491449668956858
2,0.1,70,0.007862895243066452,0.005839993258672731,0.547,0.33445207756258016,0.9861581166732005,0.4491449668956858
2,0.3,30,-0.0009016205954516805,-0.0007462289460909155,0.501,0.318041435091117,0.975093789130991,0.4608099094049252
2,0.3,50,-0.0009016205954516805,-0.0007462289460909155,0.501,0.318041435091117,0.975093789130991,0.4608099094049252
2,0.3,70,-0.0009016205954516805,-0.0007462289460909155,0.501,0.318041435091117,0.975093789130991,0.4608099094049252
2,0.5,30,,,,,,
2,0.5,50,,,,,,
2,0.5,70,,,,,,
2,0.7,30,,,,,,
2,0.7,50,,,,,,
2,0.7,70,,,,,,
