n_boots,use_principal_components,use_log,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
5,True,True,0.5036031082019915,0.4023867337732909,0.855,0.5015767062849928,1418.866351316677,0.8028955722205244,0.5546632957605839
5,True,False,0.5036031082019915,0.4023867337732909,0.855,0.5015767062849928,1418.866351316677,0.8028955722205244,0.5546632957605839
5,False,True,0.5036031082019915,0.4023867337732909,0.855,0.5015767062849928,1418.866351316677,0.8028955722205244,0.5546632957605839
5,False,False,0.5036031082019915,0.4023867337732909,0.855,0.5015767062849928,1418.866351316677,0.8028955722205244,0.5546632957605839
10,True,True,0.5036031082019915,0.4023867337732909,0.855,0.5015767062849928,1418.866351316677,0.8028955722205244,0.5546632957605839
10,True,False,0.5036031082019915,0.4023867337732909,0.855,0.5015767062849928,1418.866351316677,0.8028955722205244,0.5546632957605839
10,False,True,0.5036031082019915,0.4023867337732909,0.855,0.5015767062849928,1418.866351316677,0.8028955722205244,0.5546632957605839
10,False,False,0.5036031082019915,0.4023867337732909,0.855,0.5015767062849928,1418.866351316677,0.8028955722205244,0.5546632957605839
15,True,True,0.5036031082019915,0.4023867337732909,0.855,0.5015767062849928,1418.866351316677,0.8028955722205244,0.5546632957605839
15,True,False,0.5036031082019915,0.4023867337732909,0.855,0.5015767062849928,1418.866351316677,0.8028955722205244,0.5546632957605839
15,False,True,0.5036031082019915,0.4023867337732909,0.855,0.5015767062849928,1418.866351316677,0.8028955722205244,0.5546632957605839
15,False,False,0.5036031082019915,0.4023867337732909,0.855,0.5015767062849928,1418.866351316677,0.8028955722205244,0.5546632957605839
20,True,True,0.5036031082019915,0.4023867337732909,0.855,0.5015767062849928,1418.866351316677,0.8028955722205244,0.5546632957605839
20,True,False,0.5036031082019915,0.4023867337732909,0.855,0.5015767062849928,1418.866351316677,0.8028955722205244,0.5546632957605839
20,False,True,0.5036031082019915,0.4023867337732909,0.855,0.5015767062849928,1418.866351316677,0.8028955722205244,0.5546632957605839
20,False,False,0.5036031082019915,0.4023867337732909,0.855,0.5015767062849928,1418.866351316677,0.8028955722205244,0.5546632957605839
30,True,True,0.5036031082019915,0.4023867337732909,0.855,0.5015767062849928,1418.866351316677,0.8028955722205244,0.5546632957605839
30,True,False,0.5036031082019915,0.4023867337732909,0.855,0.5015767062849928,1418.866351316677,0.8028955722205244,0.5546632957605839
30,False,True,0.5036031082019915,0.4023867337732909,0.855,0.5015767062849928,1418.866351316677,0.8028955722205244,0.5546632957605839
30,False,False,0.5036031082019915,0.4023867337732909,0.855,0.5015767062849928,1418.866351316677,0.8028955722205244,0.5546632957605839
