significance,split_viewers_threshold,pval_strategy,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
0.0005,0.005,table,0.6838207651433289,0.7783979646947801,0.899188876013905,0.5316448279776311,1017.7389320654113,0.6393416172961026,0.6100009842057081
0.0005,0.005,function,0.6838207651433289,0.7783979646947801,0.899188876013905,0.5316448279776311,1017.7389320654114,0.6393416172961026,0.6100009842057081
0.0005,0.005,bootstrap,0.6838207651433289,0.7783979646947801,0.899188876013905,0.5316448279776311,1017.7389320654113,0.6393416172961026,0.6100009842057081
0.0005,0.01,table,0.6838207651433289,0.7783979646947801,0.899188876013905,0.5316448279776311,1017.7389320654113,0.6393416172961026,0.6100009842057081
0.0005,0.01,function,0.6832414492698581,0.7816238835508432,0.899188876013905,0.5319000258645342,1017.7520058165679,0.6392537724915031,0.6100336731146265
0.0005,0.01,bootstrap,0.6838207651433289,0.7783979646947801,0.899188876013905,0.5316448279776311,1017.7389320654113,0.6393416172961026,0.6100009842057081
0.0005,0.05,table,0.6838207651433289,0.7783979646947801,0.899188876013905,0.5316448279776311,1017.7389320654114,0.6393416172961026,0.6100009842057081
0.0005,0.05,function,0.6838207651433289,0.7783979646947801,0.899188876013905,0.5316448279776311,1017.7389320654114,0.6393416172961026,0.6100009842057081
0.0005,0.05,bootstrap,0.6838207651433289,0.7783979646947801,0.899188876013905,0.5316448279776311,1017.7389320654113,0.6393416172961026,0.6100009842057081
0.0005,0.1,table,0.6838207651433289,0.7783979646947801,0.899188876013905,0.5316448279776311,1017.7389320654114,0.6393416172961026,0.6100009842057081
0.0005,0.1,function,0.6838207651433289,0.7783979646947801,0.899188876013905,0.5316448279776311,1017.7389320654113,0.6393416172961026,0.6100009842057081
0.0005,0.1,bootstrap,0.6838207651433289,0.7783979646947801,0.899188876013905,0.5316448279776311,1017.7389320654114,0.6393416172961026,0.6100009842057081
0.001,0.005,table,0.6838207651433289,0.7783979646947801,0.899188876013905,0.5316448279776311,1017.7389320654114,0.6393416172961026,0.6100009842057081
0.001,0.005,function,0.6838207651433289,0.7783979646947801,0.899188876013905,0.5316448279776311,1017.7389320654114,0.6393416172961026,0.6100009842057081
0.001,0.005,bootstrap,0.6838207651433289,0.7783979646947801,0.899188876013905,0.5316448279776311,1017.7389320654114,0.6393416172961026,0.6100009842057081
0.001,0.01,table,0.6838207651433289,0.7783979646947801,0.899188876013905,0.5316448279776311,1017.7389320654114,0.6393416172961026,0.6100009842057081
0.001,0.01,function,0.6838207651433289,0.7783979646947801,0.899188876013905,0.5316448279776311,1017.7389320654113,0.6393416172961026,0.6100009842057081
0.001,0.01,bootstrap,0.6838207651433289,0.7783979646947801,0.899188876013905,0.5316448279776311,1017.7389320654114,0.6393416172961026,0.6100009842057081
0.001,0.05,table,0.6838207651433289,0.7783979646947801,0.899188876013905,0.5316448279776311,1017.7389320654113,0.6393416172961026,0.6100009842057081
0.001,0.05,function,0.6838207651433289,0.7783979646947801,0.899188876013905,0.5316448279776311,1017.7389320654114,0.6393416172961026,0.6100009842057081
0.001,0.05,bootstrap,0.6838207651433289,0.7783979646947801,0.899188876013905,0.5316448279776311,1017.7389320654114,0.6393416172961026,0.6100009842057081
0.001,0.1,table,0.6838207651433289,0.7783979646947801,0.899188876013905,0.5316448279776311,1017.7389320654114,0.6393416172961026,0.6100009842057081
0.001,0.1,function,0.6838207651433289,0.7783979646947801,0.899188876013905,0.5316448279776311,1017.7389320654114,0.6393416172961026,0.6100009842057081
0.001,0.1,bootstrap,0.6838207651433289,0.7783979646947801,0.899188876013905,0.5316448279776311,1017.7389320654114,0.6393416172961026,0.6100009842057081
0.005,0.005,table,0.6838207651433289,0.7783979646947801,0.899188876013905,0.5316448279776311,1017.7389320654114,0.6393416172961026,0.6100009842057081
0.005,0.005,function,0.6838207651433289,0.7783979646947801,0.899188876013905,0.5316448279776311,1017.7389320654113,0.6393416172961026,0.6100009842057081
0.005,0.005,bootstrap,0.6838207651433289,0.7783979646947801,0.899188876013905,0.5316448279776311,1017.7389320654113,0.6393416172961026,0.6100009842057081
0.005,0.01,table,0.6838207651433289,0.7783979646947801,0.899188876013905,0.5316448279776311,1017.7389320654113,0.6393416172961026,0.6100009842057081
0.005,0.01,function,0.6838207651433289,0.7783979646947801,0.899188876013905,0.5316448279776311,1017.7389320654114,0.6393416172961026,0.6100009842057081
