amount_intervals,density_threshold,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
5,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
5,5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
5,10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
5,15,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
10,3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
10,5,0.5884685661830386,0.6008776323936504,0.984,0.08642111129675052,215.77427627940415,1.5984038380646857,0.3848516482891316
10,10,0.2510554397216701,0.4168598305727029,0.946,0.14091226897111517,184.04212048191678,2.7963717558579275,0.2634093983174769
10,15,0.1306471748638691,0.3079806301552056,0.884,-0.004983026723127992,53.990046763104296,1.5254309507095396,0.39597202201035914
25,3,0.4352620514188578,0.3958924473593982,0.935,-0.18089397537206256,24.63697932201201,2.8973754090468335,0.2565829295475968
25,5,0.1508287527950266,0.2778561945017199,0.834,-0.30761019080439045,17.03673389749246,1.2801684378373261,0.43856409176002414
25,10,0.0034358909128181844,0.05369342619026835,0.534,-0.38219554811465967,6.990261738230548,1.659206208931093,0.3760520702160833
25,15,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
50,3,0.014619427086173808,0.10242839115042295,0.596,-0.6014077449675426,3.1378125503986136,1.4772118412751556,0.40367964634193154
50,5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
50,10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
50,15,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
