min_samples,xi,min_cluster_size,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
5,0.05,0.05,0.3098987822589021,0.48248659754567486,0.748,-0.023721877870043255,0.7013823114432819,0.370591243153644
5,0.05,0.1,0.663373120691022,0.7046882308955411,0.88,0.31829684344547593,0.8112960769658037,0.36197185399526144
5,0.1,0.05,0.9347874574303947,0.9064871004705239,0.978,0.4457566577163284,0.9193373226137346,0.3827765034407848
5,0.1,0.1,0.9347874574303947,0.9064871004705239,0.978,0.4457566577163284,0.9193373226137346,0.3827765034407848
10,0.05,0.05,0.7069232153844377,0.7448458111052679,0.916,0.2809538642206349,0.9326262787840743,0.2475246531994319
10,0.05,0.1,0.8406016597725229,0.8338959192649938,0.964,0.45273740109643196,0.9414705335430961,0.27505292488560795
10,0.1,0.05,0.9433739338962219,0.9214884310138952,0.981,0.4660720740960201,0.9995680675702099,0.5188845800091171
10,0.1,0.1,0.9433739338962219,0.9214884310138952,0.981,0.4660720740960201,0.9995680675702099,0.5188845800091171
15,0.05,0.05,0.878407032670015,0.8700921824684431,0.983,0.4485776634757502,0.9463600906536609,0.15960479878390638
15,0.05,0.1,0.878407032670015,0.8700921824684431,0.983,0.4485776634757502,0.9463600906536609,0.15960479878390638
15,0.1,0.05,0.9492713827762806,0.9248087362252275,0.983,0.46650804855645744,1.0,0.5185767043075006
15,0.1,0.1,0.9492713827762806,0.9248087362252275,0.983,0.46650804855645744,1.0,0.5185767043075006
