eps,min_samples,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
0.01,1,0.2903013602475623,0.3457965673685759,0.771101573676681,-0.11769054292408564,0.8039009981033441,0.9472868965607824
0.01,3,0.24906893266240585,0.3786829617699812,0.6062231759656652,-0.2387712586795624,0.5751735146332062,0.8070399248983577
0.01,5,0.1564645061051181,0.3358019901358879,0.4971387696709585,-0.3474482161104832,0.5321948179059602,0.7903910791359287
0.01,10,0.008747986815162895,0.19828869782672012,0.3133047210300429,-0.4522000069854147,0.5173303678493426,0.7227781286664299
0.01,15,-0.0018634205932990529,0.05692405576256487,0.20529327610872675,-0.4374950014673349,0.1889096746567257,0.0
0.025,1,0.013515458413287058,0.06316245818209096,0.21959942775393418,-0.46596914727124245,0.3574458732725489,0.9330176017900301
0.025,3,0.013734189815035427,0.07136918842216958,0.20386266094420602,-0.366271248780015,0.4840321735302551,0.8413496045826037
0.025,5,0.017934179459174124,0.07007744824812664,0.19206008583690987,-0.18490842314019557,0.4956748100026481,0.6764282849895437
0.025,10,0.05629064001075278,0.18140326230792603,0.2525035765379113,-0.28433119743968716,0.6824199226921169,0.7394369109232009
0.025,15,0.22234724085414095,0.4042330724171807,0.4302575107296137,0.12322435879370547,1.0,0.7616534527867835
0.05,1,0.0004202883623512986,0.0011177895256337107,0.16487839771101573,-0.17326999440167845,0.18946913940348606,0.9202992957235484
0.05,3,0.0004206572112657362,0.0014087629017440779,0.16452074391988555,0.2145280296096431,0.14321962069971622,0.6329453275204218
0.05,5,0.0007894449153434024,0.002731127243882684,0.16487839771101573,0.30358661605501375,0.20375431421775192,0.5561927057927675
0.05,10,0.0067641258229775994,0.0316216605991022,0.17381974248927037,0.34855262446890295,0.47512500899272964,0.4539506054925211
0.05,15,0.009241193705558221,0.041471943038358154,0.1756080114449213,0.32203062847402614,0.6066363071481515,0.5188101841024289
0.1,1,,,,,,
0.1,3,,,,,,
0.1,5,,,,,,
0.1,10,,,,,,
0.1,15,,,,,,
0.15,1,,,,,,
0.15,3,,,,,,
0.15,5,,,,,,
0.15,10,,,,,,
0.15,15,,,,,,
0.2,1,,,,,,
0.2,3,,,,,,
0.2,5,,,,,,
0.2,10,,,,,,
0.2,15,,,,,,
0.25,1,,,,,,
0.25,3,,,,,,
0.25,5,,,,,,
0.25,10,,,,,,
0.25,15,,,,,,
0.3,1,,,,,,
0.3,3,,,,,,
0.3,5,,,,,,
0.3,10,,,,,,
0.3,15,,,,,,
0.4,1,,,,,,
0.4,3,,,,,,
0.4,5,,,,,,
0.4,10,,,,,,
0.4,15,,,,,,
