significance,pval_strategy,n_split_trials,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
0.0005,table,5,0.9945218626852791,0.9941483320080111,0.9974,0.7115430262990737,0.9999993520581191,0.7322750864116561
0.0005,table,10,0.9945316612150712,0.9941500237819219,0.9974,0.7115480367151639,0.999999567555422,0.7323456027237418
0.0005,table,15,0.9949625487853107,0.9946572346908849,0.9976,0.7115532791403546,0.9999999999999998,0.7323037404637693
0.0005,table,20,0.9949625487853107,0.9946572346908849,0.9976,0.7115532791403546,0.9999999999999998,0.7323037404637693
0.0005,bootstrap,5,0.9940909798651876,0.9936411200028546,0.9972,0.711537783873883,0.9999989196162646,0.732316945395572
0.0005,bootstrap,10,0.9945316612150712,0.9941500237819217,0.9974,0.7115480367151639,0.999999567555422,0.7323456027237418
0.0005,bootstrap,15,0.9949625487853107,0.9946572346908849,0.9976,0.7115532791403546,0.9999999999999998,0.7323037404637692
0.0005,bootstrap,20,0.9949625487853107,0.9946572346908849,0.9976,0.7115532791403546,0.9999999999999998,0.7323037404637693
0.001,table,5,0.9945316612150712,0.9941500237819217,0.9974,0.7115480367151639,0.999999567555422,0.7323456027237418
0.001,table,10,0.9949625487853107,0.9946572346908849,0.9976,0.7115532791403546,0.9999999999999998,0.7323037404637693
0.001,table,15,0.9949625487853107,0.9946572346908849,0.9976,0.7115532791403546,0.9999999999999998,0.7323037404637693
0.001,table,20,0.9949625487853107,0.9946572346908849,0.9976,0.7115532791403546,0.9999999999999998,0.7323037404637692
0.001,bootstrap,5,0.9945316612150712,0.9941500237819217,0.9974,0.7115480367151639,0.999999567555422,0.7323456027237418
0.001,bootstrap,10,0.9949625487853107,0.9946572346908849,0.9976,0.7115532791403546,0.9999999999999998,0.7323037404637693
0.001,bootstrap,15,0.9949625487853107,0.9946572346908849,0.9976,0.7115532791403546,0.9999999999999998,0.7323037404637693
0.001,bootstrap,20,0.9949625487853107,0.9946572346908849,0.9976,0.7115532791403546,0.9999999999999998,0.7323037404637692
0.005,table,5,0.9945316612150712,0.9941500237819217,0.9974,0.7115480367151639,0.999999567555422,0.7323456027237418
0.005,table,10,0.9949625487853107,0.9946572346908849,0.9976,0.7115532791403546,0.9999999999999998,0.7323037404637692
0.005,table,15,0.9949625487853107,0.9946572346908847,0.9976,0.7115532791403546,0.9999999999999998,0.7323037404637692
0.005,table,20,0.9949625487853107,0.9946572346908847,0.9976,0.7115532791403546,0.9999999999999998,0.7323037404637692
0.005,bootstrap,5,0.9945218626852791,0.9941483320080113,0.9974,0.7115430262990737,0.9999993520581191,0.7322750864116561
0.005,bootstrap,10,0.9949625487853107,0.9946572346908849,0.9976,0.7115532791403546,0.9999999999999998,0.7323037404637692
0.005,bootstrap,15,0.9949625487853107,0.9946572346908847,0.9976,0.7115532791403546,0.9999999999999998,0.7323037404637692
0.005,bootstrap,20,0.9949625487853107,0.9946572346908847,0.9976,0.7115532791403546,0.9999999999999998,0.7323037404637693
0.01,table,5,0.9949625487853107,0.9946572346908847,0.9976,0.7115532791403546,0.9999999999999998,0.7323037404637692
0.01,table,10,0.9949625487853107,0.9946572346908849,0.9976,0.7115532791403546,1.0,0.7323037404637692
0.01,table,15,0.9949625487853107,0.9946572346908849,0.9976,0.7115532791403546,0.9999999999999998,0.7323037404637693
0.01,table,20,0.9949625487853107,0.9946572346908849,0.9976,0.7115532791403546,0.9999999999999998,0.7323037404637693
0.01,bootstrap,5,0.9949625487853107,0.9946572346908849,0.9976,0.7115532791403546,0.9999999999999998,0.7323037404637692
0.01,bootstrap,10,0.9945316612150712,0.9941500237819217,0.9974,0.7115480367151639,0.999999567555422,0.7323456027237418
0.01,bootstrap,15,0.9945316612150712,0.9941500237819217,0.9974,0.7115480367151639,0.999999567555422,0.7323456027237418
0.01,bootstrap,20,0.9945218626852791,0.9941483320080113,0.9974,0.7115430262990737,0.9999993520581191,0.7322750864116561
