rows,cols,radius,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
5,5,0.001,0.03522044366650669,0.12108492129293137,0.72,-0.043469480089702146,61.53916038540371,6.23965816128097,0.13812806871851835
5,5,0.005,0.17647414656791802,0.3335768695725924,0.904,0.02694896161473871,79.87821323836802,3.266262402353067,0.23439720900628325
5,5,0.01,0.31090368797181744,0.4882013480181905,1.0,0.10629671629356577,164.34239044810343,3.1224672762725123,0.2425731808122898
5,5,0.03,0.4299351380725013,0.4387567648772551,0.934,0.05038159790425828,66.0057296744702,8.513629055661646,0.10511235976820969
5,5,0.05,0.6246153790760757,0.666106595482988,1.0,-0.07663380003153814,27.299054745487588,5.461796314027813,0.15475572911964364
5,5,0.07,1.0,1.0,1.0,0.11430267341845882,0.024791645441720137,189.94488590696514,0.005237113291880643
5,5,0.1,1.0,1.0,1.0,0.11430267341845882,0.024791645441720137,189.94488590696514,0.005237113291880643
5,5,0.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
5,5,0.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
5,5,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
5,5,0.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
5,5,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
5,10,0.001,0.03325982983000329,0.11781187289823207,0.707,-0.15792904097486782,60.81585020266881,4.228129750838402,0.19127298817318686
5,10,0.005,0.05538941508147183,0.16119087499874446,0.784,-0.20630129661580782,32.67730122252789,10.156270319536617,0.08963569108296182
5,10,0.01,0.07074594122289281,0.20767674436562986,0.801,-0.22803928535936052,27.216954032413703,16.198896570705863,0.05814326494080189
5,10,0.03,0.49050559602482446,0.4641026185306855,0.973,-0.2630502373387225,10.329750851203592,9.277002918764584,0.09730463325782647
5,10,0.05,0.4493194647441431,0.4361776141626865,0.952,0.028688800636272528,50.20604645987556,7.578095274263456,0.11657599595568299
5,10,0.07,1.0,1.0,1.0,0.11430267341845882,0.024791645441720137,189.94488590696514,0.005237113291880643
5,10,0.1,1.0,1.0,1.0,0.11430267341845882,0.024791645441720137,189.94488590696514,0.005237113291880643
5,10,0.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
5,10,0.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
5,10,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
5,10,0.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
5,10,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
10,5,0.001,0.05491593944154288,0.1530117894143624,0.779,-0.3054788578142316,26.797567389648886,9.036805548626893,0.09963329419456644
10,5,0.005,0.06437018707523476,0.16008839860116725,0.741,-0.23546147522196378,36.08339554296029,5.3480447797995305,0.1575288194535357
10,5,0.01,0.08505164827940337,0.265374547952209,0.872,-0.08283369908299809,53.8564896799471,15.986606868991032,0.05886990896489723
10,5,0.03,0.2599070002733673,0.3473136314064414,0.923,-0.142759366098339,36.69880178943238,3.819148970382925,0.2075055172906475
10,5,0.05,0.009032810646328316,0.03117848566688337,0.628,-0.10027701479984011,39.221724704657575,8.050393574478225,0.1104924323755337
10,5,0.07,0.5466768145426635,0.5287400033205687,1.0,-0.24590065806903272,10.879563061281504,5.669981559614523,0.14992545197648086
10,5,0.1,1.0,1.0,1.0,0.11430267341845882,0.024791645441720137,189.94488590696514,0.005237113291880643
10,5,0.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
10,5,0.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
10,5,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
10,5,0.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
10,5,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
10,10,0.001,0.008770248435673195,0.030336409635256106,0.597,-0.2909976538575993,23.625286736867757,7.3975802817659035,0.11908192198785537
10,10,0.005,0.017297552549989437,0.07665666988790323,0.668,-0.30091849052146913,14.058971984483854,23.03439458338763,0.04160703930071912
10,10,0.01,0.1179633097708401,0.20446662438836227,0.796,-0.3675618531596273,18.680578950011608,7.4853656850710415,0.11784995922560852
10,10,0.03,0.5635947648686438,0.5559579353751763,0.877,-0.40901033702720907,24.971956447412705,2.1581430588681543,0.3166417674436793
10,10,0.05,0.4700692369397946,0.442533112113651,0.963,-0.3362798993676751,8.08673433061274,7.511221119716177,0.11749195396692348
10,10,0.07,0.4656185212547421,0.42693159870513964,0.965,-0.3766344484878088,7.7510914319132524,5.7012243985850795,0.14922646079590224
10,10,0.1,1.0,1.0,1.0,0.11430267341845882,0.024791645441720137,189.94488590696514,0.005237113291880643
10,10,0.2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
10,10,0.3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
10,10,0.5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
10,10,0.75,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
10,10,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
