min_samples,xi,min_cluster_size,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
5,0.05,0.05,0.3017621032199204,0.380421514057901,0.5952380952380952,0.3105254841296426,0.9975281268511474,0.46730675732413546
5,0.05,0.1,0.3017621032199204,0.380421514057901,0.5952380952380952,0.3105254841296426,0.9975281268511474,0.46730675732413546
5,0.1,0.05,0.047293592327757594,0.1033685020216444,0.4494047619047619,0.40402057158796445,0.707234371065249,0.3499561558085245
5,0.1,0.1,0.047293592327757594,0.1033685020216444,0.4494047619047619,0.40402057158796445,0.707234371065249,0.3499561558085245
10,0.05,0.05,0.295965280218639,0.37511540535337806,0.5922619047619048,0.31300265607789096,1.0,0.4714123307505101
10,0.05,0.1,0.295965280218639,0.37511540535337806,0.5922619047619048,0.31300265607789096,1.0,0.4714123307505101
10,0.1,0.05,,,,,,
10,0.1,0.1,,,,,,
15,0.05,0.05,,,,,,
15,0.05,0.1,,,,,,
15,0.1,0.05,,,,,,
15,0.1,0.1,,,,,,
