n_clusters,init,max_iter,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
2,k-means++,300,0.44600849165406337,0.5174740654839967,0.667,0.6253861874744228,0.959558517163092,0.3557409684152574
2,k-means++,500,0.4459233174046039,0.5173838519643763,0.667,0.6253989055063311,0.9595630173003704,0.355741694597845
2,random,300,0.44505688329126036,0.5164643808009364,0.667,0.6254461061470147,0.9595862728761348,0.3556218992898228
2,random,500,0.445231709070897,0.5166490043344544,0.667,0.6254369071677751,0.9595882203862561,0.3556054570702136
3,k-means++,300,0.8362330029220908,0.8204037487114935,0.9411999999999999,0.6441472221394401,0.9999961316018436,0.30699234811637754
3,k-means++,500,0.8369895872468881,0.8209791739151637,0.9414999999999999,0.6441745653492175,0.9999956417665564,0.30694240491905256
3,random,300,0.8337843255612392,0.8189676097393965,0.9401999999999999,0.6439810904729055,0.9999998109725791,0.3066118594540268
3,random,500,0.8340354978843573,0.8191572281331417,0.9402999999999999,0.6439971017386352,1.0,0.30648258896696245
4,k-means++,300,0.7911572346316671,0.7973101632598714,0.9644999999999999,0.6246153974566158,0.9909932029273308,0.0
4,k-means++,500,0.7930439271313242,0.7997429907725526,0.9653999999999998,0.627928938528834,0.991922319727998,0.014290329188012985
4,random,300,0.7943001932769836,0.8010478178649054,0.9659999999999999,0.6279735022201344,0.9919331870839936,0.01314781256060149
4,random,500,0.7943001932769836,0.8010478178649054,0.9659999999999999,0.6279735022201344,0.9919331870839936,0.01314781256060149
5,k-means++,300,0.7562039126052897,0.7654010958767203,0.9708,0.5955538704289203,0.9875623065085458,0.0625354363942231
5,k-means++,500,0.7564583750130451,0.7658229014043136,0.9710000000000001,0.595343231021777,0.9875689149317186,0.06106854758125113
5,random,300,0.7634204722650952,0.76591126935178,0.9696,0.6142443514179137,0.9896860415178704,0.11558058264559434
5,random,500,0.7635933914133413,0.7661039455710446,0.9697000000000001,0.6145141260443135,0.9896843776779629,0.11541111521635872
