significance,pval_strategy,n_split_trials,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
0.0005,table,5,0.7622852332885822,0.8135990684628727,0.8477157360406091,0.5364563915539369,1.0,0.6431268355226989
0.0005,table,10,0.7622852332885822,0.8135990684628727,0.8477157360406091,0.5364563915539369,1.0,0.6431268355226989
0.0005,table,15,0.7622852332885822,0.8135990684628727,0.8477157360406091,0.5364563915539369,1.0,0.6431268355226989
0.0005,table,20,0.7622852332885822,0.8135990684628727,0.8477157360406091,0.5364563915539369,1.0,0.6431268355226989
0.0005,bootstrap,5,0.6800803075709085,0.7631665800858762,0.7271573604060914,0.5227149191105285,0.9706185212575458,0.5958889878841646
0.0005,bootstrap,10,0.7622852332885822,0.8135990684628727,0.8477157360406091,0.5364563915539369,1.0,0.6431268355226989
0.0005,bootstrap,15,0.7622852332885822,0.8135990684628727,0.8477157360406091,0.5364563915539369,1.0,0.6431268355226989
0.0005,bootstrap,20,0.6800803075709085,0.7631665800858762,0.7271573604060914,0.5227149191105285,0.9706185212575458,0.5958889878841646
0.001,table,5,0.7622852332885822,0.8135990684628727,0.8477157360406091,0.5364563915539369,1.0,0.6431268355226989
0.001,table,10,0.7622852332885822,0.8135990684628727,0.8477157360406091,0.5364563915539369,1.0,0.6431268355226989
0.001,table,15,0.7622852332885822,0.8135990684628727,0.8477157360406091,0.5364563915539369,1.0,0.6431268355226989
0.001,table,20,0.7622852332885822,0.8135990684628727,0.8477157360406091,0.5364563915539369,1.0,0.6431268355226989
0.001,bootstrap,5,0.7622852332885822,0.8135990684628727,0.8477157360406091,0.5364563915539369,1.0,0.6431268355226989
0.001,bootstrap,10,0.7622852332885822,0.8135990684628727,0.8477157360406091,0.5364563915539369,1.0,0.6431268355226989
0.001,bootstrap,15,0.7622852332885822,0.8135990684628727,0.8477157360406091,0.5364563915539369,1.0,0.6431268355226989
0.001,bootstrap,20,0.8085315044165617,0.8765167356880309,0.9022842639593909,0.5170207442725578,0.9849433535670581,0.6369054284732533
0.005,table,5,0.8113386030575154,0.8793529521338271,0.9035532994923858,0.5178753254608462,0.9849403481456496,0.6375970267571742
0.005,table,10,0.8085315044165617,0.8765167356880309,0.9022842639593909,0.5170207442725578,0.9849433535670581,0.6369054284732533
0.005,table,15,0.8085315044165617,0.8765167356880309,0.9022842639593909,0.5170207442725578,0.9849433535670581,0.6369054284732533
0.005,table,20,0.8085315044165617,0.8765167356880309,0.9022842639593909,0.5170207442725578,0.9849433535670581,0.6369054284732533
0.005,bootstrap,5,0.8085315044165617,0.8765167356880309,0.9022842639593909,0.5170207442725578,0.9849433535670581,0.6369054284732533
0.005,bootstrap,10,0.8085315044165617,0.8765167356880309,0.9022842639593909,0.5170207442725578,0.9849433535670581,0.6369054284732533
0.005,bootstrap,15,0.8085315044165617,0.8765167356880309,0.9022842639593909,0.5170207442725578,0.9849433535670581,0.6369054284732533
0.005,bootstrap,20,0.8085315044165617,0.8765167356880309,0.9022842639593909,0.5170207442725578,0.9849433535670581,0.6369054284732533
0.01,table,5,0.8085315044165617,0.8765167356880309,0.9022842639593909,0.5170207442725578,0.9849433535670581,0.6369054284732533
0.01,table,10,0.8085315044165617,0.8765167356880309,0.9022842639593909,0.5170207442725578,0.9849433535670581,0.6369054284732533
0.01,table,15,0.8085315044165617,0.8765167356880309,0.9022842639593909,0.5170207442725578,0.9849433535670581,0.6369054284732533
0.01,table,20,0.8085315044165617,0.8765167356880309,0.9022842639593909,0.5170207442725578,0.9849433535670581,0.6369054284732533
0.01,bootstrap,5,0.8085315044165617,0.8765167356880309,0.9022842639593909,0.5170207442725578,0.9849433535670581,0.6369054284732533
0.01,bootstrap,10,0.8085315044165617,0.8765167356880309,0.9022842639593909,0.5170207442725578,0.9849433535670581,0.6369054284732533
0.01,bootstrap,15,0.8085315044165617,0.8765167356880309,0.9022842639593909,0.5170207442725578,0.9849433535670581,0.6369054284732533
0.01,bootstrap,20,0.8085315044165617,0.8765167356880309,0.9022842639593909,0.5170207442725578,0.9849433535670581,0.6369054284732533
