n_clusters,affinity,random_state,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
6,nearest_neighbors,42,0.4867384360918637,0.71704717288886,0.7794486215538846,0.41682567185688724,1.0,0.5715675898703357
6,rbf,42,0.2702713915333908,0.46661274137454506,0.6566416040100249,0.26932899121963005,0.9285795464306953,0.5255890297317812
