n_clusters,embedding_size,pretrain_epochs,clustering_epochs,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
6,2,100,100,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
6,2,100,200,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
6,2,200,100,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
6,2,200,200,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
6,5,100,100,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
6,5,100,200,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
6,5,200,100,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
6,5,200,200,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
6,10,100,100,0.5317348817682143,0.681216058481097,0.7869674185463659,0.4069706422436726,627.141469583463,0.9020796230368084,0.5257403464548068
6,10,100,200,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
6,10,200,100,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
6,10,200,200,0.5381608620141556,0.704294155408107,0.8320802005012531,0.411405961000946,638.3739617957532,0.923467630371895,0.5198943742071988
