n_clusters,init,embedding_size,pretrain_epochs,clustering_epochs,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
10,acedec,10,200,200,0.15685394666823196,0.26870195787656787,0.5141509433962265,0.18659655314938584,285.0588143129812,1.3240909738220539,0.43027575566694054
10,acedec,20,200,200,0.16015483324619317,0.27365933737857245,0.555256064690027,0.17070639965276768,278.95056787881805,1.3528550819130944,0.4250155513984759
10,acedec,30,200,200,0.15653609582302067,0.27058045496494904,0.52088948787062,0.19961863255198742,291.0151668811541,1.2537879306726054,0.44369746877718286
10,acedec,40,200,200,0.14879455758068574,0.26147279848687616,0.49595687331536387,0.17993497597404304,289.47824228333855,1.2849460754739332,0.43764708967697824
10,subkmeans,10,200,200,0.17451965300072877,0.27795096252267953,0.5363881401617251,0.1918824129847647,267.7026667442829,1.3995560270666625,0.4167437595622429
10,subkmeans,20,200,200,0.14086747725247523,0.24941050127248926,0.5350404312668463,0.134525459345628,171.11874192016276,1.6759930556861284,0.37369304747451915
10,subkmeans,30,200,200,0.15842314380446065,0.26644005283106825,0.5363881401617251,0.17428107207497154,281.80798931458276,1.3414880353901795,0.42707884255037953
10,subkmeans,40,200,200,0.14506943116615612,0.24775669205182224,0.5181940700808625,0.16047837929198194,229.65751935801774,1.479028512315665,0.4033838235550983
10,random,10,200,200,0.09541058733671332,0.2111676991348375,0.4683288409703504,0.13326691119577064,208.93218211656426,1.6061775713119804,0.3837037088369187
10,random,20,200,200,0.16289538402702317,0.26820648955601734,0.5370619946091644,0.13003067874612784,237.8020976819325,1.6089374782903136,0.38329780162279664
10,random,30,200,200,0.1809613207905134,0.25892724783039794,0.5094339622641509,0.13806374882714215,227.20787641781416,1.5626144383173017,0.3902264753712359
10,random,40,200,200,0.1309013937702599,0.253771936135819,0.5040431266846361,0.14239176265252962,206.4927751965283,1.5390254424984513,0.3938519020967274
10,sgd,10,200,200,0.12307281383872803,0.2423094165446445,0.5222371967654986,0.13339618259766498,167.80807790503783,1.6919107334431047,0.3714833436251967
10,sgd,20,200,200,0.11927735903870433,0.23939812132016622,0.511455525606469,0.1175601381327585,172.13974344929315,1.764032476839621,0.3617902497091475
10,sgd,30,200,200,0.13276551653640553,0.25895071096723005,0.5451482479784366,0.12640450439759368,171.79871544076215,1.7496126336302649,0.36368759285184027
10,sgd,40,200,200,0.14184315661471522,0.25181482659823706,0.5296495956873315,0.1321338531176994,171.5355033437617,1.8011006845827577,0.3570025188683843
