min_cluster_size,metric,leaf_size,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
5,euclidean,25,-0.004510174374356588,0.028466570799910943,0.5336538461538461,0.2577223460536404,1.0,0.3405985087537186
5,euclidean,40,-0.004510174374356588,0.028466570799910943,0.5336538461538461,0.2577223460536404,1.0,0.3405985087537186
5,euclidean,70,-0.004510174374356588,0.028466570799910943,0.5336538461538461,0.2577223460536404,1.0,0.3405985087537186
5,euclidean,100,-0.004510174374356588,0.028466570799910943,0.5336538461538461,0.2577223460536404,1.0,0.3405985087537186
5,manhattan,25,-0.005614544240616402,0.043522053678192715,0.5336538461538461,0.2439802443899737,0.9680210714822599,0.4153234296852209
5,manhattan,40,-0.005614544240616402,0.043522053678192715,0.5336538461538461,0.2439802443899737,0.9680210714822599,0.4153234296852209
5,manhattan,70,-0.005614544240616402,0.043522053678192715,0.5336538461538461,0.2439802443899737,0.9680210714822599,0.4153234296852209
5,manhattan,100,-0.005614544240616402,0.043522053678192715,0.5336538461538461,0.2439802443899737,0.9680210714822599,0.4153234296852209
10,euclidean,25,,,,,,
10,euclidean,40,,,,,,
10,euclidean,70,,,,,,
10,euclidean,100,,,,,,
10,manhattan,25,,,,,,
10,manhattan,40,,,,,,
10,manhattan,70,,,,,,
10,manhattan,100,,,,,,
15,euclidean,25,,,,,,
15,euclidean,40,,,,,,
15,euclidean,70,,,,,,
15,euclidean,100,,,,,,
15,manhattan,25,,,,,,
15,manhattan,40,,,,,,
15,manhattan,70,,,,,,
15,manhattan,100,,,,,,
