eps,min_samples,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
0.01,1,,,,,,
0.01,3,,,,,,
0.01,5,,,,,,
0.01,10,,,,,,
0.01,15,,,,,,
0.025,1,,,,,,
0.025,3,,,,,,
0.025,5,,,,,,
0.025,10,,,,,,
0.025,15,,,,,,
0.05,1,,,,,,
0.05,3,,,,,,
0.05,5,,,,,,
0.05,10,,,,,,
0.05,15,,,,,,
0.1,1,,,,,,
0.1,3,,,,,,
0.1,5,,,,,,
0.1,10,,,,,,
0.1,15,,,,,,
0.15,1,,,,,,
0.15,3,,,,,,
0.15,5,,,,,,
0.15,10,,,,,,
0.15,15,,,,,,
0.2,1,,,,,,
0.2,3,,,,,,
0.2,5,,,,,,
0.2,10,,,,,,
0.2,15,,,,,,
0.25,1,,,,,,
0.25,3,,,,,,
0.25,5,,,,,,
0.25,10,,,,,,
0.25,15,,,,,,
0.3,1,,,,,,
0.3,3,,,,,,
0.3,5,,,,,,
0.3,10,,,,,,
0.3,15,,,,,,
0.4,1,0.0003718162264372215,0.004401102487455025,1.0,0.0054459894394840065,1.0,0.8708581183921101
0.4,3,-0.00308088908341123,0.015886600093441797,0.5336538461538461,-0.13324367756055353,0.2848285329345787,0.40296123360086966
0.4,5,,,,,,
0.4,10,,,,,,
0.4,15,,,,,,
