levels,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
7,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
9,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
10,1.0,1.0,1.0,0.3935615044391553,895.1474068395414,1.0072591541294258,0.49819177456122393
12,0.9011392678406591,0.882770746900978,1.0,-0.22336452286320507,292.25369225514044,2.324802687404815,0.30076972801671825
14,0.12393624482083791,0.323310180826947,1.0,-0.10332702953471327,405.6798503174066,0.8224338106127904,0.5487167732383935
15,0.02011991590236228,0.19667979047384473,1.0,0.15275757189568476,1667.0147892864115,0.5691904507543643,0.6372712754651707
17,0.0016048086486347693,0.06172842269576797,1.0,0.23518939164557856,12378.525851774606,0.21976009115981748,0.8198333485801647
18,0.0008505492253117415,0.03853005183770788,1.0,0.17317808300922186,20357.35966695861,0.15677314932603106,0.86447373072467
20,0.0001805412301104497,0.009632417249012933,1.0,0.05479323384877481,65764.69530696588,0.051704477135632344,0.9508374469637593
