min_samples,xi,min_cluster_size,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score
5,0.05,0.05,0.5170499608293397,0.7362843249800112,0.7712374581939799,0.3785306494226372,0.8186401543698428,0.08775372742525878
5,0.05,0.1,0.4348173682189153,0.6827761325951842,0.7083612040133779,0.30218318471721095,0.7798109462623074,0.0
5,0.1,0.05,0.8028097450472234,0.8850731063594661,0.8822742474916387,0.5941098269654818,0.9423734205409017,0.2493021140039937
5,0.1,0.1,0.6167087887394258,0.7952300944987152,0.7789297658862876,0.414026593527517,0.8162184908012622,0.01801392097022947
10,0.05,0.05,0.7868301233233881,0.8860019337679029,0.8735785953177257,0.5683055591790307,0.9232487165824992,0.15958493063890478
10,0.05,0.1,0.5918860125060657,0.7890118472186446,0.7662207357859532,0.38926190022347834,0.8130106211587838,0.03662795251341788
10,0.1,0.05,0.8627163939738133,0.9119245983969161,0.9076923076923077,0.6613746419876789,0.9925215716644942,0.3515818926398794
10,0.1,0.1,0.6899932353688838,0.8264142873864674,0.8093645484949833,0.4716042049304784,0.8335039156793376,0.028091794558206984
15,0.05,0.05,0.7610425142522702,0.8667168090541472,0.8645484949832776,0.5543922357621696,0.9128664609109741,0.16406621417563116
15,0.05,0.1,0.5635074603625637,0.76602312230638,0.7561872909698997,0.3753140404727876,0.8092295832681003,0.04347176136882469
15,0.1,0.05,0.8756782826302166,0.9168060259514523,0.91438127090301,0.6750754725620776,1.0,0.34009053734365724
15,0.1,0.1,0.7071702588590242,0.8332114986823049,0.8160535117056856,0.48602167631020027,0.8391248244241502,0.042894061287505836
