number_cluster,number_represent_points,compression,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
2,3,0.1,0.5593270153535076,0.6937503646184657,0.666,0.19536110968521275,203.34703311004927,1.5773451381721058,0.3879961535571506
2,3,0.25,0.5379778151822656,0.6805507896977394,0.658,0.6384384411179848,2580.996614556542,0.4761626025566885,0.6774321462066693
2,3,0.5,0.5344167388994732,0.6758975673333283,0.657,0.638464406018471,2579.2060441082504,0.4753042654079432,0.677826278583615
2,3,0.75,0.5344167388994732,0.6758975673333283,0.657,0.638464406018471,2579.2060441082504,0.4753042654079432,0.677826278583615
2,3,0.9,0.5344167388994732,0.6758975673333283,0.657,0.638464406018471,2579.2060441082504,0.4753042654079432,0.677826278583615
2,5,0.1,-4.000016000064e-06,-3.622146186024351e-06,0.334,0.32562301420333073,4.1062048910465885,0.4459101189131099,0.6916059213637011
2,5,0.25,0.5379778151822656,0.6805507896977394,0.658,0.6384384411179848,2580.996614556542,0.4761626025566885,0.6774321462066693
2,5,0.5,0.5344167388994732,0.6758975673333283,0.657,0.638464406018471,2579.2060441082504,0.4753042654079432,0.677826278583615
2,5,0.75,0.5344167388994732,0.6758975673333283,0.657,0.638464406018471,2579.2060441082504,0.4753042654079432,0.677826278583615
2,5,0.9,0.5344167388994732,0.6758975673333283,0.657,0.638464406018471,2579.2060441082504,0.4753042654079432,0.677826278583615
2,10,0.1,1.603214419259184e-08,0.0016625493095670028,0.335,0.2645492946723115,6.880662325174322,0.589972254620247,0.6289417925967786
2,10,0.25,0.5344167388994732,0.6758975673333283,0.657,0.638464406018471,2579.2060441082504,0.4753042654079432,0.677826278583615
2,10,0.5,0.5344167388994732,0.6758975673333283,0.657,0.638464406018471,2579.2060441082504,0.4753042654079432,0.677826278583615
2,10,0.75,0.5344167388994732,0.6758975673333283,0.657,0.638464406018471,2579.2060441082504,0.4753042654079432,0.677826278583615
2,10,0.9,0.5344167388994732,0.6758975673333283,0.657,0.638464406018471,2579.2060441082504,0.4753042654079432,0.677826278583615
2,15,0.1,-4.000016000064e-06,-3.622146186024351e-06,0.334,0.32562301420333073,4.1062048910465885,0.4459101189131099,0.6916059213637011
2,15,0.25,0.5344167388994732,0.6758975673333283,0.657,0.638464406018471,2579.2060441082504,0.4753042654079432,0.677826278583615
2,15,0.5,0.5344167388994732,0.6758975673333283,0.657,0.638464406018471,2579.2060441082504,0.4753042654079432,0.677826278583615
2,15,0.75,0.5344167388994732,0.6758975673333283,0.657,0.638464406018471,2579.2060441082504,0.4753042654079432,0.677826278583615
2,15,0.9,0.5344167388994732,0.6758975673333283,0.657,0.638464406018471,2579.2060441082504,0.4753042654079432,0.677826278583615
