n_clusters,embedding_size,pretrain_epochs,clustering_epochs,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
15,2,100,100,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
15,2,100,200,0.8608963235714925,0.9251030613570548,0.9048,0.549172916802242,7722.963866857556,0.6464249207247335,0.607376617914538
15,2,200,100,0.7989378583151605,0.8959505083027367,0.8324,0.537437820777569,7763.841246182474,0.6869963502147719,0.5927695100660353
15,2,200,200,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
15,5,100,100,0.8031909232546947,0.9046799297826419,0.8412,0.5223925337846336,6809.675206916959,0.655507936253398,0.6040442199649694
15,5,100,200,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
15,5,200,100,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
15,5,200,200,0.8025008386644995,0.9051358297541013,0.8506,0.5285106938016739,7799.893050094679,0.7434824822275323,0.5735646960572647
15,10,100,100,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
15,10,100,200,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
15,10,200,100,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
15,10,200,200,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
