n_clusters,init,embedding_size,pretrain_epochs,clustering_epochs,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
3,acedec,2,100,100,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
3,acedec,2,100,200,0.9791686930598544,0.9651612299105327,0.993,0.6511639733672071,3024.8572597268176,0.4909545340672006,0.6707112639257233
3,acedec,2,200,100,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
3,acedec,2,200,200,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,inf
3,acedec,5,100,100,0.9703775993115555,0.9543787203994502,0.99,0.650405230288223,3017.0627932511507,0.49187291585001164,0.6702983808981066
3,acedec,5,100,200,0.9703775993115555,0.9543787203994502,0.99,0.650405230288223,3017.062793251151,0.49187291585001164,0.6702983808981066
3,acedec,5,200,100,0.9674656426335413,0.9510365651625939,0.989,0.6502295611104099,3014.8898991161054,0.49251740285368023,0.6700089379782164
3,acedec,5,200,200,0.9674656426335413,0.9510365651625939,0.989,0.6502295611104099,3014.8898991161054,0.49251740285368023,0.6700089379782164
3,acedec,10,100,100,0.9674656426335413,0.9510365651625939,0.989,0.6502295611104099,3014.8898991161054,0.49251740285368023,0.6700089379782164
3,acedec,10,100,200,0.9674656426335413,0.9510365651625939,0.989,0.6502295611104099,3014.8898991161054,0.49251740285368023,0.6700089379782164
3,acedec,10,200,100,0.9674656426335413,0.9510365651625939,0.989,0.6502295611104099,3014.8898991161054,0.49251740285368023,0.6700089379782164
3,acedec,10,200,200,0.9674656426335413,0.9510365651625939,0.989,0.6502295611104099,3014.8898991161054,0.49251740285368023,0.6700089379782164
