n_clusters,embedding_size,pretrain_epochs,clustering_epochs,adjusted_rand_score,adjusted_mutual_info_score,purity_score,silhouette_score,calinski_harabasz_score,davies_bouldin_score,norm_davies_bouldin_score
3,2,100,100,0.9910180813057349,0.9826403251606458,0.997,0.47313614114834934,1920.5213813606783,0.8916795110493139,0.5286307718400463
3,2,100,200,0.9910180813057349,0.9826403251606458,0.997,0.47313614114834934,1920.5213813606783,0.8916795110493139,0.5286307718400463
3,2,200,100,0.9940030181141498,0.9875832198614451,0.998,0.47228674472737364,1908.4417634355816,0.8907702552211304,0.5288849860201802
3,2,200,200,0.9880422165666403,0.9781745121739641,0.996,0.47409002789904064,1934.063348747093,0.8921121160450197,0.5285099078009426
3,5,100,100,0.9066164561650831,0.8768509501846984,0.968,0.4851195905343891,2099.1270822509305,0.8239821738883778,0.548250972139817
3,5,100,200,0.9910180813057349,0.9826403251606456,0.997,0.47313614114834934,1920.5213813606783,0.8916795110493139,0.5286307718400463
3,5,200,100,0.9821178102467791,0.9700927210841654,0.994,0.4756442061320488,1955.3417295994632,0.8937679402140853,0.5280478028828351
3,5,200,200,0.9910180813057349,0.9826403251606458,0.997,0.47313614114834934,1920.5213813606783,0.8916795110493139,0.5286307718400463
3,10,100,100,0.9910180813057349,0.9826403251606456,0.997,0.47313614114834934,1920.5213813606783,0.8916795110493139,0.5286307718400463
3,10,100,200,0.9910180813057349,0.9826403251606456,0.997,0.47313614114834934,1920.5213813606783,0.8916795110493139,0.5286307718400463
3,10,200,100,0.9910180813057349,0.9826403251606458,0.997,0.47313614114834934,1920.5213813606783,0.8916795110493139,0.5286307718400463
3,10,200,200,0.7620633475492842,0.7420323210411754,0.91,0.5042701013543367,2409.249093901438,0.7357596395435834,0.5761166334429514
