algorithm,dataset,significance,pval_strategy,outliers,add_tails,max_cluster_size_diff_factor
skinnydip,2d10c,0.0075,bootstrap,False,False,1.5
skinnydip,2d20c,0.05,table,False,False,1.25
skinnydip,2d4c,0.001,table,False,True,1.0
skinnydip,3spiral,0.5,bootstrap,False,True,2.0
skinnydip,aggregation,0.001,table,False,True,1.0
skinnydip,compound,0.05,table,False,True,1.0
skinnydip,D1,0.001,bootstrap,False,True,1.25
skinnydip,D2,0.001,table,False,True,1.0
skinnydip,D3,0.5,table,False,True,1.75
skinnydip,D4,0.1,table,False,True,2.0
skinnydip,D5,0.005,table,True,True,1.0
skinnydip,ecoli,0.05,table,False,True,1.0
skinnydip,elly2d10c13s,0.001,bootstrap,True,True,1.0
skinnydip,glass,0.001,table,False,True,1.0
skinnydip,ionosphere,0.0075,bootstrap,False,True,1.0
skinnydip,s1,0.005,bootstrap,False,True,1.0
skinnydip,s2,0.1,bootstrap,False,False,1.75
skinnydip,sonar,0.005,bootstrap,False,False,1.75
skinnydip,statlog,0.001,function,False,True,1.0
skinnydip,unbalance,0.1,table,False,True,1.0
skinnydip,wdbc,0.001,bootstrap,True,True,1.0
skinnydip,wine,0.0075,bootstrap,False,True,1.5
skinnydip,yeast,0.001,bootstrap,False,False,1.25
