algorithm,dataset,n_clusters,embedding_size,pretrain_optimizer_params,clustering_optimizer_params,random_state
dcn,2d10c,9.0,5.0,{'lr': 0.01},{'lr': 0.001},42.0
dcn,2d20c,20.0,5.0,{'lr': 0.01},{'lr': 1e-05},42.0
dcn,2d4c,4.0,5.0,{'lr': 0.01},{'lr': 0.001},42.0
dcn,3spiral,3.0,10.0,{'lr': 0.01},{'lr': 1e-05},42.0
dcn,aggregation,7.0,10.0,{'lr': 0.0001},{'lr': 0.001},42.0
dcn,compound,6.0,2.0,{'lr': 0.0001},{'lr': 1e-05},42.0
dcn,D1,3.0,5.0,{'lr': 0.01},{'lr': 1e-05},42.0
dcn,D2,3.0,5.0,{'lr': 0.01},{'lr': 0.001},42.0
dcn,D3,3.0,10.0,{'lr': 0.01},{'lr': 0.001},42.0
dcn,D4,2.0,5.0,{'lr': 0.01},{'lr': 1e-05},42.0
dcn,D5,2.0,10.0,{'lr': 0.01},{'lr': 0.001},42.0
dcn,ecoli,8.0,10.0,{'lr': 0.01},{'lr': 0.001},42.0
dcn,elly2d10c13s,10.0,5.0,{'lr': 0.01},{'lr': 0.0001},42.0
dcn,glass,6.0,5.0,{'lr': 0.01},{'lr': 0.001},42.0
dcn,ionosphere,2.0,2.0,{'lr': 0.01},{'lr': 0.0001},42.0
dcn,s1,15.0,10.0,{'lr': 0.01},{'lr': 0.0001},42.0
dcn,s2,15.0,10.0,{'lr': 0.0001},{'lr': 0.0001},42.0
dcn,sonar,2.0,10.0,{'lr': 0.0001},{'lr': 1e-05},42.0
dcn,statlog,7.0,5.0,{'lr': 0.01},{'lr': 0.0001},42.0
dcn,unbalance,8.0,10.0,{'lr': 0.01},{'lr': 0.001},42.0
dcn,wdbc,2.0,10.0,{'lr': 0.01},{'lr': 1e-05},42.0
dcn,wine,3.0,5.0,{'lr': 0.01},{'lr': 0.001},42.0
dcn,yeast,10.0,2.0,{'lr': 0.01},{'lr': 1e-05},42.0
