algorithm,dataset,n_clusters,embedding_size,pretrain_optimizer_params,clustering_optimizer_params,random_state,pretrain_epochs,clustering_epochs
aec,2d10c,9.0,2.0,{'lr': 0.0001},{'lr': 0.001},42.0,,
aec,2d20c,20.0,2.0,{'lr': 0.0001},{'lr': 0.0001},42.0,,
aec,2d4c,4.0,5.0,{'lr': 0.01},{'lr': 0.001},42.0,,
aec,3spiral,3.0,5.0,{'lr': 0.0001},{'lr': 1e-05},42.0,,
aec,aggregation,7.0,5.0,{'lr': 0.0001},{'lr': 0.001},42.0,,
aec,compound,6.0,2.0,{'lr': 0.0001},{'lr': 1e-05},42.0,,
aec,D1,3.0,2.0,,,,200.0,200.0
aec,D2,3.0,2.0,,,,200.0,100.0
aec,D3,3.0,2.0,,,,100.0,200.0
aec,D4,2.0,5.0,,,,200.0,200.0
aec,D5,2.0,2.0,,,,100.0,100.0
aec,ecoli,8.0,2.0,{'lr': 0.01},{'lr': 1e-05},42.0,,
aec,elly2d10c13s,10.0,2.0,,,,200.0,100.0
aec,glass,6.0,2.0,{'lr': 0.001},{'lr': 0.001},42.0,,
aec,ionosphere,2.0,10.0,{'lr': 0.001},{'lr': 0.0001},42.0,,
aec,s1,15.0,2.0,{'lr': 0.0001},{'lr': 0.001},42.0,,
aec,s2,15.0,5.0,{'lr': 0.0001},{'lr': 0.0001},42.0,,
aec,sonar,2.0,5.0,{'lr': 0.0001},{'lr': 0.0001},42.0,,
aec,statlog,7.0,5.0,{'lr': 0.01},{'lr': 0.0001},42.0,,
aec,unbalance,8.0,2.0,{'lr': 0.0001},{'lr': 1e-05},42.0,,
aec,wdbc,2.0,5.0,{'lr': 0.0001},{'lr': 0.001},42.0,,
aec,wine,3.0,2.0,{'lr': 0.01},{'lr': 0.0001},42.0,,
aec,yeast,10.0,2.0,{'lr': 0.01},{'lr': 0.0001},42.0,,
