algorithm,dataset,n_clusters_init
xmeans,2d10c,3.0
xmeans,2d20c,4.0
xmeans,2d4c,3.0
xmeans,3spiral,5.0
xmeans,aggregation,2.0
xmeans,compound,2.0
xmeans,D1,3.0
xmeans,D2,3.0
xmeans,D3,4.0
xmeans,D4,5.0
xmeans,D5,4.0
xmeans,ecoli,4.0
xmeans,elly2d10c13s,3.0
xmeans,glass,3.0
xmeans,ionosphere,5.0
xmeans,s1,5.0
xmeans,s2,5.0
xmeans,sonar,4.0
xmeans,statlog,4.0
xmeans,unbalance,3.0
xmeans,wdbc,3.0
xmeans,wine,2.0
xmeans,yeast,5.0
