algorithm,dataset,n_clusters
diana,2d10c,9.0
diana,2d20c,20.0
diana,2d4c,4.0
diana,3spiral,3.0
diana,aggregation,7.0
diana,compound,6.0
diana,D1,3.0
diana,D2,3.0
diana,D3,3.0
diana,D4,2.0
diana,D5,2.0
diana,ecoli,8.0
diana,elly2d10c13s,10.0
diana,glass,6.0
diana,ionosphere,2.0
diana,s1,15.0
diana,s2,15.0
diana,sonar,2.0
diana,statlog,7.0
diana,unbalance,8.0
diana,wdbc,2.0
diana,wine,3.0
diana,yeast,10.0
