algorithm,dataset,n_clusters,max_iter,n_init
ldakmeans,2d10c,9.0,300.0,1.0
ldakmeans,2d20c,20.0,500.0,1.0
ldakmeans,2d4c,4.0,300.0,5.0
ldakmeans,3spiral,3.0,300.0,2.0
ldakmeans,aggregation,7.0,300.0,2.0
ldakmeans,compound,6.0,300.0,5.0
ldakmeans,D1,3.0,500.0,2.0
ldakmeans,D2,3.0,300.0,1.0
ldakmeans,D3,3.0,300.0,10.0
ldakmeans,D4,2.0,300.0,1.0
ldakmeans,D5,2.0,300.0,1.0
ldakmeans,ecoli,8.0,300.0,10.0
ldakmeans,elly2d10c13s,10.0,1000.0,10.0
ldakmeans,glass,6.0,300.0,10.0
ldakmeans,ionosphere,2.0,300.0,1.0
ldakmeans,s1,15.0,300.0,1.0
ldakmeans,s2,15.0,300.0,1.0
ldakmeans,sonar,2.0,300.0,1.0
ldakmeans,statlog,7.0,300.0,2.0
ldakmeans,unbalance,8.0,300.0,1.0
ldakmeans,wdbc,2.0,300.0,1.0
ldakmeans,wine,3.0,300.0,1.0
ldakmeans,yeast,10.0,500.0,1.0
