algorithm,dataset,n_clusters,max_iter
subkmeans,2d10c,9.0,300.0
subkmeans,2d20c,20.0,300.0
subkmeans,2d4c,4.0,500.0
subkmeans,3spiral,3.0,300.0
subkmeans,aggregation,7.0,1000.0
subkmeans,compound,6.0,500.0
subkmeans,D1,3.0,500.0
subkmeans,D2,3.0,300.0
subkmeans,D3,3.0,500.0
subkmeans,D4,2.0,300.0
subkmeans,D5,2.0,500.0
subkmeans,ecoli,8.0,1000.0
subkmeans,elly2d10c13s,10.0,300.0
subkmeans,glass,6.0,300.0
subkmeans,ionosphere,2.0,500.0
subkmeans,s1,15.0,1000.0
subkmeans,s2,15.0,300.0
subkmeans,sonar,2.0,300.0
subkmeans,statlog,7.0,500.0
subkmeans,unbalance,8.0,1000.0
subkmeans,wdbc,2.0,300.0
subkmeans,wine,3.0,300.0
subkmeans,yeast,10.0,300.0
