algorithm,dataset,levels
bang,2d10c,12.0
bang,2d20c,14.0
bang,2d4c,12.0
bang,3spiral,10.0
bang,aggregation,12.0
bang,compound,9.0
bang,D1,12.0
bang,D2,14.0
bang,D3,12.0
bang,D4,9.0
bang,D5,10.0
bang,ecoli,10.0
bang,elly2d10c13s,17.0
bang,glass,15.0
bang,ionosphere,5.0
bang,s1,15.0
bang,s2,15.0
bang,sonar,5.0
bang,statlog,5.0
bang,unbalance,12.0
bang,wdbc,5.0
bang,wine,5.0
bang,yeast,14.0
