algorithm,dataset,threshold
drc,2d10c,0.0
drc,2d20c,0.7
drc,2d4c,0.5
drc,3spiral,0.5
drc,aggregation,0.5
drc,compound,0.6
drc,D1,0.8
drc,D2,0.6
drc,D3,0.5
drc,D4,0.0
drc,D5,0.0
drc,ecoli,0.9
drc,elly2d10c13s,0.9
drc,glass,0.5
drc,ionosphere,0.0
drc,s1,0.7
drc,s2,0.8
drc,sonar,0.0
drc,statlog,0.8
drc,unbalance,0.7
drc,wdbc,0.9
drc,wine,0.6
drc,yeast,0.0
