algorithm,dataset,n_clusters,input_dim
autoclustering,2d10c,9.0,2.0
autoclustering,2d20c,20.0,2.0
autoclustering,2d4c,4.0,2.0
autoclustering,3spiral,3.0,2.0
autoclustering,aggregation,7.0,2.0
autoclustering,compound,6.0,2.0
autoclustering,D1,3.0,2.0
autoclustering,D2,3.0,2.0
autoclustering,D3,3.0,2.0
autoclustering,D4,2.0,2.0
autoclustering,D5,2.0,2.0
autoclustering,ecoli,8.0,7.0
autoclustering,elly2d10c13s,10.0,2.0
autoclustering,glass,6.0,9.0
autoclustering,ionosphere,2.0,34.0
autoclustering,s1,15.0,2.0
autoclustering,s2,15.0,2.0
autoclustering,sonar,2.0,60.0
autoclustering,statlog,7.0,19.0
autoclustering,unbalance,8.0,2.0
autoclustering,wdbc,2.0,30.0
autoclustering,wine,3.0,13.0
autoclustering,yeast,10.0,8.0
