algorithm,dataset,min_samples,min_cluster_size,xi
optics,2d10c,5.0,0.01,0.2
optics,2d20c,5.0,0.01,0.2
optics,2d4c,5.0,0.025,0.2
optics,3spiral,5.0,0.1,0.1
optics,aggregation,10.0,0.025,0.1
optics,compound,5.0,0.1,0.1
optics,D1,15.0,0.2,0.025
optics,D2,15.0,0.01,0.1
optics,D3,10.0,0.025,0.1
optics,D4,5.0,0.1,0.05
optics,D5,5.0,0.1,0.1
optics,ecoli,15.0,0.2,0.01
optics,elly2d10c13s,15.0,0.05,0.025
optics,glass,5.0,0.1,0.1
optics,ionosphere,15.0,0.01,0.01
optics,s1,15.0,0.05,0.01
optics,s2,15.0,0.05,0.01
optics,sonar,5.0,0.01,0.01
optics,statlog,10.0,0.1,0.2
optics,unbalance,15.0,0.01,0.2
optics,wdbc,5.0,0.2,0.01
optics,wine,10.0,0.2,0.01
optics,yeast,5.0,0.01,0.05
