algorithm,dataset,eps,min_samples,k,t
mdbscan,2d10c,0.025,5.0,2.0,0.01
mdbscan,2d20c,0.025,3.0,2.0,0.01
mdbscan,2d4c,0.025,5.0,2.0,0.01
mdbscan,3spiral,0.05,3.0,2.0,0.01
mdbscan,aggregation,0.05,10.0,2.0,0.01
mdbscan,compound,0.05,5.0,2.0,0.01
mdbscan,D1,0.025,10.0,2.0,0.01
mdbscan,D2,0.05,10.0,2.0,0.01
mdbscan,D3,0.05,5.0,2.0,0.01
mdbscan,D4,0.05,3.0,2.0,0.01
mdbscan,D5,0.1,3.0,2.0,0.01
mdbscan,ecoli,0.1,3.0,2.0,0.01
mdbscan,elly2d10c13s,0.01,5.0,2.0,0.01
mdbscan,glass,0.1,3.0,2.0,0.01
mdbscan,ionosphere,0.01,3.0,2.0,0.01
mdbscan,s1,0.025,10.0,2.0,0.01
mdbscan,s2,0.01,10.0,2.0,0.01
mdbscan,sonar,0.01,3.0,2.0,0.01
mdbscan,statlog,0.1,10.0,2.0,0.01
mdbscan,unbalance,0.025,10.0,2.0,0.01
mdbscan,wdbc,0.01,3.0,2.0,0.01
mdbscan,wine,0.01,3.0,2.0,0.01
mdbscan,yeast,0.025,3.0,2.0,0.01
