algorithm,dataset,rows,cols,radius
syncsom,2d10c,5.0,5.0,0.03
syncsom,2d20c,5.0,10.0,0.03
syncsom,2d4c,10.0,5.0,0.03
syncsom,3spiral,10.0,5.0,0.05
syncsom,aggregation,5.0,5.0,0.05
syncsom,compound,10.0,10.0,0.1
syncsom,D1,5.0,5.0,0.03
syncsom,D2,5.0,10.0,0.03
syncsom,D3,5.0,5.0,0.03
syncsom,D4,5.0,5.0,0.03
syncsom,D5,5.0,5.0,0.07
syncsom,ecoli,5.0,5.0,0.1
syncsom,elly2d10c13s,5.0,5.0,0.001
syncsom,glass,5.0,10.0,0.3
syncsom,ionosphere,5.0,5.0,0.1
syncsom,s1,10.0,5.0,0.01
syncsom,s2,10.0,10.0,0.01
syncsom,sonar,5.0,10.0,0.01
syncsom,statlog,5.0,5.0,0.07
syncsom,unbalance,5.0,5.0,0.01
syncsom,wdbc,10.0,10.0,0.3
syncsom,wine,5.0,10.0,0.5
syncsom,yeast,5.0,5.0,0.05
