algorithm,dataset,n_clusters,embedding_size,pretrain_optimizer_params,clustering_optimizer_params,random_state
dkm,2d10c,9.0,10.0,{'lr': 0.01},{'lr': 0.001},42.0
dkm,2d20c,20.0,10.0,{'lr': 0.01},{'lr': 1e-05},42.0
dkm,2d4c,4.0,10.0,{'lr': 0.01},{'lr': 0.001},42.0
dkm,3spiral,3.0,10.0,{'lr': 0.01},{'lr': 1e-05},42.0
dkm,aggregation,7.0,10.0,{'lr': 0.01},{'lr': 0.001},42.0
dkm,compound,6.0,5.0,{'lr': 0.0001},{'lr': 1e-05},42.0
dkm,D1,3.0,5.0,{'lr': 0.01},{'lr': 1e-05},42.0
dkm,D2,3.0,5.0,{'lr': 0.01},{'lr': 0.001},42.0
dkm,D3,3.0,10.0,{'lr': 0.01},{'lr': 0.0001},42.0
dkm,D4,2.0,5.0,{'lr': 0.01},{'lr': 1e-05},42.0
dkm,D5,2.0,10.0,{'lr': 0.0001},{'lr': 0.0001},42.0
dkm,ecoli,8.0,10.0,{'lr': 0.01},{'lr': 0.0001},42.0
dkm,elly2d10c13s,10.0,5.0,{'lr': 0.01},{'lr': 0.0001},42.0
dkm,glass,6.0,2.0,{'lr': 0.01},{'lr': 0.001},42.0
dkm,ionosphere,2.0,10.0,{'lr': 0.01},{'lr': 0.001},42.0
dkm,s1,15.0,10.0,{'lr': 0.01},{'lr': 1e-05},42.0
dkm,s2,15.0,5.0,{'lr': 0.001},{'lr': 0.0001},42.0
dkm,sonar,2.0,10.0,{'lr': 0.01},{'lr': 1e-05},42.0
dkm,statlog,7.0,5.0,{'lr': 0.01},{'lr': 0.0001},42.0
dkm,unbalance,8.0,10.0,{'lr': 0.01},{'lr': 0.0001},42.0
dkm,wdbc,2.0,10.0,{'lr': 0.01},{'lr': 0.0001},42.0
dkm,wine,3.0,5.0,{'lr': 0.01},{'lr': 0.001},42.0
dkm,yeast,10.0,2.0,{'lr': 0.01},{'lr': 1e-05},42.0
