algorithm,dataset,amount_clusters,epouch
somsc,2d10c,9.0,100.0
somsc,2d20c,20.0,100.0
somsc,2d4c,4.0,100.0
somsc,3spiral,3.0,500.0
somsc,aggregation,7.0,100.0
somsc,compound,6.0,100.0
somsc,D1,3.0,100.0
somsc,D2,3.0,100.0
somsc,D3,3.0,100.0
somsc,D4,2.0,300.0
somsc,D5,2.0,100.0
somsc,ecoli,8.0,100.0
somsc,elly2d10c13s,10.0,100.0
somsc,glass,6.0,100.0
somsc,ionosphere,2.0,300.0
somsc,s1,15.0,100.0
somsc,s2,15.0,100.0
somsc,sonar,2.0,100.0
somsc,statlog,7.0,100.0
somsc,unbalance,8.0,100.0
somsc,wdbc,2.0,100.0
somsc,wine,3.0,100.0
somsc,yeast,10.0,100.0
