algorithm,dataset
amddbscan,2d10c
amddbscan,2d20c
amddbscan,2d4c
amddbscan,3spiral
amddbscan,aggregation
amddbscan,compound
amddbscan,D1
amddbscan,D2
amddbscan,D3
amddbscan,D4
amddbscan,D5
amddbscan,ecoli
amddbscan,elly2d10c13s
amddbscan,glass
amddbscan,ionosphere
amddbscan,s1
amddbscan,s2
amddbscan,sonar
amddbscan,statlog
amddbscan,unbalance
amddbscan,wdbc
amddbscan,wine
amddbscan,yeast
