algorithm,dataset,n_clusters,random_state,affinity,n_neighbors
spectral,2d10c,9.0,42.0,rbf,5.0
spectral,2d20c,20.0,42.0,nearest_neighbors,20.0
spectral,2d4c,4.0,42.0,nearest_neighbors,10.0
spectral,3spiral,3.0,42.0,nearest_neighbors,5.0
spectral,aggregation,7.0,42.0,nearest_neighbors,20.0
spectral,compound,6.0,42.0,nearest_neighbors,5.0
spectral,D1,3.0,42.0,rbf,5.0
spectral,D2,3.0,42.0,nearest_neighbors,20.0
spectral,D3,3.0,42.0,nearest_neighbors,10.0
spectral,D4,2.0,42.0,nearest_neighbors,10.0
spectral,D5,2.0,42.0,nearest_neighbors,10.0
spectral,ecoli,8.0,42.0,rbf,5.0
spectral,elly2d10c13s,10.0,42.0,nearest_neighbors,20.0
spectral,glass,6.0,42.0,nearest_neighbors,20.0
spectral,ionosphere,2.0,42.0,nearest_neighbors,20.0
spectral,s1,15.0,42.0,nearest_neighbors,20.0
spectral,s2,15.0,42.0,nearest_neighbors,20.0
spectral,sonar,2.0,42.0,nearest_neighbors,5.0
spectral,statlog,7.0,42.0,rbf,5.0
spectral,unbalance,8.0,42.0,rbf,5.0
spectral,wdbc,2.0,42.0,nearest_neighbors,10.0
spectral,wine,3.0,42.0,rbf,5.0
spectral,yeast,10.0,42.0,nearest_neighbors,10.0
